# This file is generated by MACS version 2.1.0.20140616
# Command line: callpeak -t ../BAM/H3K4me3_WT_1.bam -c ../BAM/Input_WT_1.bam -f BAM --gsize 12156677 --name H3K4me3_WT_1 -q 0.01 --nomodel
# ARGUMENTS LIST:
# name = H3K4me3_WT_1
# format = BAM
# ChIP-seq file = ['../BAM/H3K4me3_WT_1.bam']
# control file = ['../BAM/Input_WT_1.bam']
# effective genome size = 1.22e+07
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 1.00e-02
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 51 bps
# total tags in treatment: 5774180
# tags after filtering in treatment: 4073992
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.29
# total tags in control: 5875629
# tags after filtering in control: 5077659
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.14
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chrI	11429	11750	322	11591	184.00	26.84728	2.47277	25.99963	H3K4me3_WT_1_peak_1
chrI	24400	24609	210	24513	118.00	8.18296	1.74936	7.55473	H3K4me3_WT_1_peak_2
chrI	33627	34458	832	34103	187.00	30.63792	2.64207	29.74075	H3K4me3_WT_1_peak_3
chrI	34913	37292	2380	35395	260.00	68.38982	3.70643	66.63995	H3K4me3_WT_1_peak_4
chrI	37348	37910	563	37555	226.00	46.21351	3.06041	45.05835	H3K4me3_WT_1_peak_5
chrI	39133	39793	661	39329	267.00	70.71308	3.73018	68.87584	H3K4me3_WT_1_peak_6
chrI	42123	42693	571	42313	234.00	48.55094	3.09462	47.34772	H3K4me3_WT_1_peak_7
chrI	43003	43960	958	43501	236.00	55.48387	3.38567	54.12080	H3K4me3_WT_1_peak_8
chrI	45756	46327	572	46034	182.00	29.77905	2.63722	28.89331	H3K4me3_WT_1_peak_9
chrI	48476	49105	630	48709	232.00	49.97792	3.17565	48.74400	H3K4me3_WT_1_peak_10
chrI	54259	54743	485	54504	226.00	43.50460	2.93958	42.40209	H3K4me3_WT_1_peak_11
chrI	56410	58580	2171	57285	292.00	87.83607	4.16846	85.16893	H3K4me3_WT_1_peak_12
chrI	60436	61971	1536	60937	300.00	90.10640	4.16623	87.30164	H3K4me3_WT_1_peak_13
chrI	62658	63559	902	63041	300.00	84.47124	3.93878	81.99723	H3K4me3_WT_1_peak_14
chrI	66997	67915	919	67412	252.00	66.30126	3.70338	64.62415	H3K4me3_WT_1_peak_15
chrI	69082	69638	557	69423	212.00	40.99181	2.94167	39.93535	H3K4me3_WT_1_peak_16
chrI	71732	72377	646	71965	230.00	54.35376	3.39582	53.01851	H3K4me3_WT_1_peak_17
